iso3,status,required_layer,missing_scenarios,missing_layers,missing_layers_by_scenario,files_matched_for_removal
ABW,kept,centroids,,,,0
AFG,kept,centroids,,,,0
AGO,kept,centroids,,,,0
ALB,kept,centroids,,,,0
ARE,kept,centroids,,,,0
ARG,kept,centroids,,,,0
ARM,kept,centroids,,,,0
ASM,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
ATG,kept,centroids,,,,0
AUS,kept,centroids,,,,0
AUT,kept,centroids,,,,0
AZE,kept,centroids,,,,0
BDI,kept,centroids,,,,0
BEL,kept,centroids,,,,0
BEN,kept,centroids,,,,0
BFA,kept,centroids,,,,0
BGD,kept,centroids,,,,0
BGR,kept,centroids,,,,0
BHR,kept,centroids,,,,0
BHS,kept,centroids,,,,0
BIH,kept,centroids,,,,0
BLR,kept,centroids,,,,0
BLZ,kept,centroids,,,,0
BMU,excluded,centroids,2024_supply_100%;2030_supply_100%_add_v2;2050_supply_100%_add_v2,2024_supply_100%:centroids;2024_supply_100%:facilities;2024_supply_100%:grid_lines;2024_supply_100%:polylines;2030_supply_100%_add_v2:centroids;2030_supply_100%_add_v2:facilities;2030_supply_100%_add_v2:grid_lines;2030_supply_100%_add_v2:polylines;2050_supply_100%_add_v2:centroids;2050_supply_100%_add_v2:facilities;2050_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:polylines,2024_supply_100%=[centroids;facilities;grid_lines;polylines] | 2030_supply_100%_add_v2=[centroids;facilities;grid_lines;polylines] | 2050_supply_100%_add_v2=[centroids;facilities;grid_lines;polylines],0
BOL,kept,centroids,,,,0
BRA,kept,centroids,,,,0
BRB,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
BRN,kept,centroids,,,,0
BTN,kept,centroids,,,,0
BWA,kept,centroids,,,,0
CAF,kept,centroids,,,,0
CAN,kept,centroids,,,,0
CHE,kept,centroids,,,,0
CHL,kept,centroids,,,,0
CHN,kept,centroids,,,,0
CIV,kept,centroids,,,,0
CMR,kept,centroids,,,,0
COD,kept,centroids,,,,0
COG,kept,centroids,,,,0
COL,kept,centroids,,,,0
COM,kept,centroids,,,,0
CPV,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
CRI,kept,centroids,,,,0
CUB,kept,centroids,,,,0
CYM,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
CYP,kept,centroids,,,,0
CZE,kept,centroids,,,,0
DEU,kept,centroids,,,,0
DJI,kept,centroids,,,,0
DNK,kept,centroids,,,,0
DOM,kept,centroids,,,,0
DZA,kept,centroids,,,,0
ECU,kept,centroids,,,,0
EGY,kept,centroids,,,,0
ERI,kept,centroids,,,,0
ESP,kept,centroids,,,,0
EST,kept,centroids,,,,0
ETH,kept,centroids,,,,0
FIN,kept,centroids,,,,0
FJI,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
FRA,kept,centroids,,,,0
FRO,kept,centroids,,,,0
GAB,kept,centroids,,,,0
GBR,kept,centroids,,,,0
GEO,kept,centroids,,,,0
GHA,kept,centroids,,,,0
GIN,kept,centroids,,,,0
GMB,kept,centroids,,,,0
GNB,kept,centroids,,,,0
GNQ,kept,centroids,,,,0
GRC,kept,centroids,,,,0
GRL,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
GTM,kept,centroids,,,,0
GUM,kept,centroids,,,,0
GUY,kept,centroids,,,,0
HND,kept,centroids,,,,0
HRV,kept,centroids,,,,0
HUN,kept,centroids,,,,0
IDN,kept,centroids,,,,0
IND,kept,centroids,,,,0
IRL,kept,centroids,,,,0
IRN,kept,centroids,,,,0
IRQ,kept,centroids,,,,0
ISL,kept,centroids,,,,0
ISR,kept,centroids,,,,0
ITA,kept,centroids,,,,0
JAM,kept,centroids,,,,0
JOR,kept,centroids,,,,0
JPN,kept,centroids,,,,0
KAZ,kept,centroids,,,,0
KEN,kept,centroids,,,,0
KGZ,kept,centroids,,,,0
KHM,kept,centroids,,,,0
KIR,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
KNA,kept,centroids,,,,0
KOR,kept,centroids,,,,0
KWT,kept,centroids,,,,0
LAO,kept,centroids,,,,0
LBN,kept,centroids,,,,0
LBR,kept,centroids,,,,0
LBY,kept,centroids,,,,0
LCA,kept,centroids,,,,0
LKA,kept,centroids,,,,0
LSO,kept,centroids,,,,0
LTU,kept,centroids,,,,0
LUX,kept,centroids,,,,0
LVA,kept,centroids,,,,0
MAR,kept,centroids,,,,0
MDA,kept,centroids,,,,0
MDG,kept,centroids,,,,0
MDV,kept,centroids,,2024_supply_100%:facilities;2024_supply_100%:grid_lines;2024_supply_100%:polylines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[facilities;grid_lines;polylines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
MEX,kept,centroids,,,,0
MKD,kept,centroids,,,,0
MLI,kept,centroids,,,,0
MLT,kept,centroids,,,,0
MMR,kept,centroids,,,,0
MNE,kept,centroids,,,,0
MNG,kept,centroids,,,,0
MOZ,kept,centroids,,,,0
MRT,kept,centroids,,,,0
MUS,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
MWI,kept,centroids,,,,0
MYS,kept,centroids,,,,0
NAM,kept,centroids,,,,0
NCL,kept,centroids,,,,0
NER,kept,centroids,,,,0
NGA,kept,centroids,,,,0
NIC,kept,centroids,,,,0
NLD,kept,centroids,,,,0
NOR,kept,centroids,,,,0
NPL,kept,centroids,,,,0
NZL,kept,centroids,,,,0
OMN,kept,centroids,,,,0
PAK,kept,centroids,,,,0
PAN,kept,centroids,,,,0
PER,kept,centroids,,,,0
PHL,kept,centroids,,,,0
PNG,kept,centroids,,,,0
POL,kept,centroids,,,,0
PRI,kept,centroids,,,,0
PRK,kept,centroids,,,,0
PRT,kept,centroids,,,,0
PRY,kept,centroids,,,,0
PSE,kept,centroids,,,,0
QAT,kept,centroids,,,,0
ROU,kept,centroids,,,,0
RUS,kept,centroids,,,,0
RWA,kept,centroids,,,,0
SAU,kept,centroids,,,,0
SDN,kept,centroids,,,,0
SEN,kept,centroids,,,,0
SGP,kept,centroids,,,,0
SLE,kept,centroids,,,,0
SLV,kept,centroids,,,,0
SOM,kept,centroids,,,,0
SRB,kept,centroids,,,,0
SSD,kept,centroids,,,,0
SUR,kept,centroids,,,,0
SVK,kept,centroids,,,,0
SVN,kept,centroids,,,,0
SWE,kept,centroids,,,,0
SWZ,kept,centroids,,,,0
SYC,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
SYR,kept,centroids,,,,0
TCD,kept,centroids,,,,0
TGO,kept,centroids,,,,0
THA,kept,centroids,,,,0
TJK,kept,centroids,,,,0
TKM,kept,centroids,,,,0
TLS,kept,centroids,,,,0
TON,kept,centroids,,,,0
TTO,kept,centroids,,,,0
TUN,kept,centroids,,,,0
TUR,kept,centroids,,,,0
TWN,kept,centroids,,,,0
TZA,kept,centroids,,,,0
UGA,kept,centroids,,,,0
UKR,kept,centroids,,,,0
URY,kept,centroids,,,,0
USA,kept,centroids,,,,0
UZB,kept,centroids,,,,0
VEN,kept,centroids,,,,0
VIR,kept,centroids,,,,0
VNM,kept,centroids,,,,0
VUT,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
WSM,kept,centroids,,2024_supply_100%:grid_lines;2030_supply_100%_add_v2:grid_lines;2050_supply_100%_add_v2:grid_lines,2024_supply_100%=[grid_lines] | 2030_supply_100%_add_v2=[grid_lines] | 2050_supply_100%_add_v2=[grid_lines],0
YEM,kept,centroids,,,,0
ZAF,kept,centroids,,,,0
ZMB,kept,centroids,,,,0
ZWE,kept,centroids,,,,0
